problem,n_var,algorithm,IGD_best,HV_best
zdt1,30,OADE_NSGAII,0.004156668000880038,0.8709798716237758
zdt1,30,NSGA2,0.004719798197247648,0.8690698874715227
zdt1,30,RNSGA2,0.08044964809766304,0.764816412693065
zdt1,30,DNSGA2,0.004422845196625399,0.8692833856957521
zdt2,30,OADE_NSGAII,0.004286857476089919,0.5379762868573665
zdt2,30,NSGA2,0.004786188314075347,0.5354440387064334
zdt2,30,RNSGA2,0.14152829895740646,0.3618425105761578
zdt2,30,DNSGA2,0.004760871939687984,0.5351210914690905
zdt3,30,OADE_NSGAII,0.004889636044427038,1.0513826586578519
zdt3,30,NSGA2,0.00466644343198479,1.0498275538912816
zdt3,30,RNSGA2,0.12635501291505558,0.9018380211181714
zdt3,30,DNSGA2,0.004785554243322957,1.04910058608323
zdt4,10,OADE_NSGAII,0.004198838413372634,0.8697133972243941
zdt4,10,NSGA2,0.005353564919191157,0.8677629416329282
zdt4,10,RNSGA2,0.09024878941947394,0.7837382466764378
zdt4,10,DNSGA2,0.004791205824147805,0.8686040086497829
zdt6,10,OADE_NSGAII,0.0034927264297723707,0.43868570015072494
zdt6,10,NSGA2,0.012266999435576438,0.4235127846794621
zdt6,10,RNSGA2,0.046403747549821545,0.37822115157353425
zdt6,10,DNSGA2,0.01274401634005737,0.4232007345245613
