problem,n_var,algorithm,IGD_mean,IGD_std,HV_mean,HV_std
zdt1,30,OADE_NSGAII,0.008891427122351003,0.006065102525704937,0.8649622691887391,0.007891552225772817
zdt1,30,NSGA2,0.0051527885496940075,0.00026800762983564963,0.8681508946270379,0.0004799418670416494
zdt1,30,RNSGA2,0.21113344181991972,0.03035700485138019,0.6264355923201443,0.04022961307432349
zdt1,30,DNSGA2,0.005104955129486498,0.0004189152762955356,0.8682221150225097,0.0006513422802367389
zdt2,30,OADE_NSGAII,0.005886765531349803,0.0027162640313486354,0.5359666036005616,0.003551749295551174
zdt2,30,NSGA2,0.005308020095942803,0.0003408886046539447,0.5342699282975512,0.0006805372443087928
zdt2,30,RNSGA2,0.22866153154538382,0.025733496439787874,0.2899223756752411,0.02163784939943435
zdt2,30,DNSGA2,0.005328783085953272,0.00030940335818273014,0.534209179535977,0.0005703658911874371
zdt3,30,OADE_NSGAII,0.008391529537569862,0.005125483342487429,1.049157828073861,0.004501435227974262
zdt3,30,NSGA2,0.005419626378480115,0.0003413118589846399,1.0482793196592275,0.0005502353458079883
zdt3,30,RNSGA2,0.29199753290674696,0.03779578668475961,0.735024534324702,0.04182821529498556
zdt3,30,DNSGA2,0.005422512250260861,0.0003095507602657206,1.048308160693605,0.0005397674454961041
zdt4,10,OADE_NSGAII,0.0179125384910185,0.032065635914327054,0.8480357742413742,0.05071236810690339
zdt4,10,NSGA2,0.013112326988354956,0.020821626686519122,0.85614958303401,0.0281483609405955
zdt4,10,RNSGA2,0.18255875421610715,0.037260989937210186,0.6616456694127487,0.0507333793457606
zdt4,10,DNSGA2,0.01417648906341696,0.020812486587842068,0.8530444532735789,0.03323992827451892
zdt6,10,OADE_NSGAII,0.00548178263813082,0.003080096147058236,0.43634270731107455,0.003418371665038955
zdt6,10,NSGA2,0.016454788837801198,0.001906311977067609,0.4177346232454566,0.002695373050149599
zdt6,10,RNSGA2,0.13920415657153898,0.027441971336136347,0.2977250603790044,0.02271976997878956
zdt6,10,DNSGA2,0.015983990989452312,0.0025962638715891118,0.41844445240741573,0.00370753227313374
