study,parameter,parameter_label,problem,n_var,run_idx,seed,pop_size,n_gen,stagnation_patience,initial_mean_F,initial_mean_CR,final_mean_F,final_mean_CR,mean_F_gen30,mean_CR_gen30,mean_F_gen50,mean_CR_gen50,IGD,HV,runtime_seconds,restart_count
pop_size,pop_size,50,zdt1,30,0,42,50,200,20,0.65,0.5,0.47307916253663496,0.5015772406498807,0.8392010634124659,0.5242104510296098,0.8542146968206461,0.5677339204787668,0.03338218540683866,0.8310407042215983,0.6339563999999882,7
pop_size,pop_size,50,zdt1,30,1,43,50,200,20,0.65,0.5,0.5494469437994511,0.5093335905673743,0.7046132510637744,0.5035245027316002,0.7640760170398478,0.5174510220870514,0.01650411505055075,0.856778457559758,0.6610953999997946,7
pop_size,pop_size,50,zdt1,30,2,44,50,200,20,0.65,0.5,0.6495241186282971,0.5139892267844237,0.7237227829005979,0.5273417338772255,0.8154189647176078,0.5600745599664482,0.0095332253141787,0.8644626142884523,0.7104268000002776,6
pop_size,pop_size,50,zdt1,30,3,45,50,200,20,0.65,0.5,0.5387609369187933,0.49576008253432985,0.7121575802259575,0.5417473188604272,0.7789198926896964,0.5642263298534063,0.009272795652731237,0.8646041847736823,0.7661207000001014,7
pop_size,pop_size,50,zdt1,30,4,46,50,200,20,0.65,0.5,0.6180005119127614,0.5155878745079893,0.6953349121618192,0.5189755821359269,0.7120564752507188,0.5498930399790152,0.009949597349925753,0.8636632361954195,1.692221199999949,7
pop_size,pop_size,50,zdt1,30,5,47,50,200,20,0.65,0.5,0.5163675822065529,0.4863239125818098,0.6692120047414286,0.5686733889987966,0.7523116972224545,0.5788837300124009,0.024754460124034417,0.842668187921647,1.4652702000003046,7
pop_size,pop_size,50,zdt1,30,6,48,50,200,20,0.65,0.5,0.5510899329299584,0.5103324688155012,0.7694759644589118,0.5031611693978237,0.7661751438860177,0.5459338902773702,0.009485507274372959,0.8647606579605148,0.7071636000000581,7
pop_size,pop_size,50,zdt1,30,7,49,50,200,20,0.65,0.5,0.5660916661540218,0.5084189100415719,0.8305064555666417,0.5304955839050196,0.8481775873841267,0.553084420046095,0.016054663700044172,0.8550979257896824,1.2965524000001096,7
pop_size,pop_size,50,zdt1,30,8,50,50,200,20,0.65,0.5,0.5771389547805225,0.5174995505587635,0.7076092332233355,0.5529497162294083,0.7465178896781139,0.5818644840841497,0.009231149981669537,0.864597285948902,1.130037800000082,7
pop_size,pop_size,50,zdt1,30,9,51,50,200,20,0.65,0.5,0.6272429582760288,0.5132580508598032,0.764220531845305,0.5167223949245325,0.81355519101477,0.5257577919413157,0.00899229755544276,0.8646786369253848,0.6761671999997816,6
pop_size,pop_size,50,zdt1,30,10,52,50,200,20,0.65,0.5,0.49597213841525895,0.4968086510319416,0.7166764816800546,0.5134867461403221,0.7703613554597457,0.5152690542143873,0.0377496864114865,0.8200073851337436,0.6202295000002778,8
pop_size,pop_size,50,zdt1,30,11,53,50,200,20,0.65,0.5,0.612741919548285,0.5083474754793919,0.7826757666540619,0.5775290762939199,0.7895302045962048,0.582934961911355,0.010039847530647487,0.863539661580808,0.6039339000003565,7
pop_size,pop_size,50,zdt1,30,12,54,50,200,20,0.65,0.5,0.5515290804776702,0.5088472064183936,0.7564416725856385,0.4752885765751274,0.7789336563494573,0.47155226264569994,0.00842848962533825,0.8649671512348274,0.5948315999999068,7
pop_size,pop_size,50,zdt1,30,13,55,50,200,20,0.65,0.5,0.518620660181376,0.5056249238011984,0.7306947774445912,0.5062114810159106,0.7817305492470774,0.510905031680766,0.020494497609366332,0.8479973996890161,0.5918096000000332,7
pop_size,pop_size,50,zdt1,30,14,56,50,200,20,0.65,0.5,0.5957941455173591,0.5165331266968745,0.7182180100165371,0.5135055258515566,0.7593286737543724,0.5166938242788433,0.00869431875331853,0.8647436078783658,0.6086175000000367,6
pop_size,pop_size,50,zdt1,30,15,57,50,200,20,0.65,0.5,0.563162815690819,0.5079236722835704,0.7384577307614529,0.5315055979299079,0.7914979464955939,0.5635988286277913,0.011474701081906574,0.8626550107029944,0.6159472999997888,7
pop_size,pop_size,50,zdt1,30,16,58,50,200,20,0.65,0.5,0.4956022417380446,0.5047145982019806,0.6425539296977266,0.4722154061877193,0.7296264882224369,0.4648896555464186,0.024704673166736458,0.8451528650601451,0.6004940000002534,6
