study,problem,metric,test,baseline_label,comparison_label,statistic,p_value,p_adjusted_holm,alpha,significant,result
pop_size,zdt1,IGD,friedman,100,all,45.866666666666674,1.0969324436797266e-10,,0.05,True,parameter_effect_detected
pop_size,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,100,50,79.0,0.001038169488310814,0.001038169488310814,0.05,True,baseline_better
pop_size,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,100,200,26.0,1.991167664527893e-06,3.982335329055786e-06,0.05,True,comparison_better
pop_size,zdt1,HV,friedman,100,all,45.26666666666665,1.480703920416963e-10,,0.05,True,parameter_effect_detected
pop_size,zdt1,HV,wilcoxon_signed_rank_vs_baseline,100,50,78.0,0.0009517744183540344,0.0009517744183540344,0.05,True,baseline_better
pop_size,zdt1,HV,wilcoxon_signed_rank_vs_baseline,100,200,28.0,2.7623027563095093e-06,5.5246055126190186e-06,0.05,True,comparison_better
pop_size,zdt2,IGD,friedman,100,all,36.06666666666666,1.4730681619100916e-08,,0.05,True,parameter_effect_detected
pop_size,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,100,50,5.0,1.862645149230957e-08,3.725290298461914e-08,0.05,True,baseline_better
pop_size,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,100,200,100.0,0.005382779985666275,0.005382779985666275,0.05,True,comparison_better
pop_size,zdt2,HV,friedman,100,all,44.06666666666666,2.6980184512036645e-10,,0.05,True,parameter_effect_detected
pop_size,zdt2,HV,wilcoxon_signed_rank_vs_baseline,100,50,0.0,1.862645149230957e-09,3.725290298461914e-09,0.05,True,baseline_better
pop_size,zdt2,HV,wilcoxon_signed_rank_vs_baseline,100,200,102.0,0.0061949919909238815,0.0061949919909238815,0.05,True,comparison_better
pop_size,zdt3,IGD,friedman,100,all,50.866666666666674,9.004169812996034e-12,,0.05,True,parameter_effect_detected
pop_size,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,100,50,50.0,5.5925920605659485e-05,5.5925920605659485e-05,0.05,True,baseline_better
pop_size,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,100,200,3.0,9.313225746154785e-09,1.862645149230957e-08,0.05,True,comparison_better
pop_size,zdt3,HV,friedman,100,all,44.60000000000002,2.0664887892075588e-10,,0.05,True,parameter_effect_detected
pop_size,zdt3,HV,wilcoxon_signed_rank_vs_baseline,100,50,59.0,0.0001528710126876831,0.0001528710126876831,0.05,True,baseline_better
pop_size,zdt3,HV,wilcoxon_signed_rank_vs_baseline,100,200,1.0,3.725290298461914e-09,7.450580596923828e-09,0.05,True,comparison_better
pop_size,zdt4,IGD,friedman,100,all,60.0,9.357622968840163e-14,,0.05,True,parameter_effect_detected
pop_size,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,100,50,0.0,1.862645149230957e-09,3.725290298461914e-09,0.05,True,baseline_better
pop_size,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,100,200,0.0,1.862645149230957e-09,3.725290298461914e-09,0.05,True,comparison_better
pop_size,zdt4,HV,friedman,100,all,60.0,9.357622968840163e-14,,0.05,True,parameter_effect_detected
pop_size,zdt4,HV,wilcoxon_signed_rank_vs_baseline,100,50,0.0,1.862645149230957e-09,3.725290298461914e-09,0.05,True,baseline_better
pop_size,zdt4,HV,wilcoxon_signed_rank_vs_baseline,100,200,0.0,1.862645149230957e-09,3.725290298461914e-09,0.05,True,comparison_better
pop_size,zdt6,IGD,friedman,100,all,36.06666666666666,1.4730681619100916e-08,,0.05,True,parameter_effect_detected
pop_size,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,100,50,66.0,0.00031275488436222076,0.0006255097687244415,0.05,True,baseline_better
pop_size,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,100,200,104.0,0.007111456245183945,0.007111456245183945,0.05,True,comparison_better
pop_size,zdt6,HV,friedman,100,all,36.06666666666666,1.4730681619100916e-08,,0.05,True,parameter_effect_detected
pop_size,zdt6,HV,wilcoxon_signed_rank_vs_baseline,100,50,63.0,0.00023163668811321259,0.00046327337622642517,0.05,True,baseline_better
pop_size,zdt6,HV,wilcoxon_signed_rank_vs_baseline,100,200,88.0,0.0021877754479646683,0.0021877754479646683,0.05,True,comparison_better
stagnation_patience,zdt1,IGD,friedman,20,all,32.714285714285666,1.1900049125256956e-05,,0.05,True,parameter_effect_detected
stagnation_patience,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,20,5,106.0,0.008142979815602303,0.048857878893613815,0.05,True,baseline_better
stagnation_patience,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,20,10,163.0,0.15794767439365387,0.6317906975746155,0.05,False,no_significant_difference
stagnation_patience,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,20,15,216.0,0.7456546742469072,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,20,25,219.0,0.7921590935438871,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,20,30,203.0,0.5561132747679949,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,20,40,119.0,0.018529480323195457,0.09264740161597729,0.05,False,no_significant_difference
stagnation_patience,zdt1,HV,friedman,20,all,39.39999999999998,5.974777918438089e-07,,0.05,True,parameter_effect_detected
stagnation_patience,zdt1,HV,wilcoxon_signed_rank_vs_baseline,20,5,77.0,0.0008718203753232956,0.0052309222519397736,0.05,True,baseline_better
stagnation_patience,zdt1,HV,wilcoxon_signed_rank_vs_baseline,20,10,139.0,0.054921628907322884,0.21968651562929153,0.05,False,no_significant_difference
stagnation_patience,zdt1,HV,wilcoxon_signed_rank_vs_baseline,20,15,223.0,0.8552717231214046,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt1,HV,wilcoxon_signed_rank_vs_baseline,20,25,212.0,0.685047073289752,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt1,HV,wilcoxon_signed_rank_vs_baseline,20,30,209.0,0.6408254038542509,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt1,HV,wilcoxon_signed_rank_vs_baseline,20,40,125.0,0.026228994131088257,0.13114497065544128,0.05,False,no_significant_difference
stagnation_patience,zdt2,IGD,friedman,20,all,48.985714285714266,7.505196630082724e-09,,0.05,True,parameter_effect_detected
stagnation_patience,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,20,5,19.0,5.718320608139038e-07,3.430992364883423e-06,0.05,True,baseline_better
stagnation_patience,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,20,10,99.0,0.0050126127898693085,0.025063063949346542,0.05,True,baseline_better
stagnation_patience,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,20,15,175.0,0.24494642950594425,0.7348392885178328,0.05,False,no_significant_difference
stagnation_patience,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,20,25,201.0,0.5291051845997572,0.9290900900959969,0.05,False,no_significant_difference
stagnation_patience,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,20,30,196.0,0.46454504504799843,0.9290900900959969,0.05,False,no_significant_difference
stagnation_patience,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,20,40,100.0,0.005382779985666275,0.025063063949346542,0.05,True,comparison_better
stagnation_patience,zdt2,HV,friedman,20,all,52.91428571428571,1.2208582077993678e-09,,0.05,True,parameter_effect_detected
stagnation_patience,zdt2,HV,wilcoxon_signed_rank_vs_baseline,20,5,15.0,2.551823854446411e-07,1.5310943126678467e-06,0.05,True,baseline_better
stagnation_patience,zdt2,HV,wilcoxon_signed_rank_vs_baseline,20,10,95.0,0.0037444327026605606,0.018722163513302803,0.05,True,baseline_better
stagnation_patience,zdt2,HV,wilcoxon_signed_rank_vs_baseline,20,15,178.0,0.2710056286305189,0.8130168858915567,0.05,False,no_significant_difference
stagnation_patience,zdt2,HV,wilcoxon_signed_rank_vs_baseline,20,25,223.0,0.8552717231214046,0.8552717231214046,0.05,False,no_significant_difference
stagnation_patience,zdt2,HV,wilcoxon_signed_rank_vs_baseline,20,30,192.0,0.4161298982799053,0.8322597965598106,0.05,False,no_significant_difference
stagnation_patience,zdt2,HV,wilcoxon_signed_rank_vs_baseline,20,40,122.0,0.022098854184150696,0.08839541673660278,0.05,False,no_significant_difference
stagnation_patience,zdt3,IGD,friedman,20,all,45.54285714285709,3.650418596544356e-08,,0.05,True,parameter_effect_detected
stagnation_patience,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,20,5,62.0,0.00020912662148475647,0.0012547597289085388,0.05,True,baseline_better
stagnation_patience,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,20,10,152.0,0.10039735585451126,0.3011920675635338,0.05,False,no_significant_difference
stagnation_patience,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,20,15,175.0,0.24494642950594425,0.4898928590118885,0.05,False,no_significant_difference
stagnation_patience,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,20,25,194.0,0.4399667661637068,0.4898928590118885,0.05,False,no_significant_difference
stagnation_patience,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,20,30,126.0,0.027741437777876854,0.11096575111150742,0.05,False,no_significant_difference
stagnation_patience,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,20,40,116.0,0.015460003167390823,0.07730001583695412,0.05,False,no_significant_difference
stagnation_patience,zdt3,HV,friedman,20,all,50.514285714285734,3.7072906535512887e-09,,0.05,True,parameter_effect_detected
stagnation_patience,zdt3,HV,wilcoxon_signed_rank_vs_baseline,20,5,59.0,0.0001528710126876831,0.0009172260761260986,0.05,True,baseline_better
stagnation_patience,zdt3,HV,wilcoxon_signed_rank_vs_baseline,20,10,135.0,0.044907208532094955,0.18217498436570168,0.05,False,no_significant_difference
stagnation_patience,zdt3,HV,wilcoxon_signed_rank_vs_baseline,20,15,167.0,0.18396909348666668,0.36793818697333336,0.05,False,no_significant_difference
stagnation_patience,zdt3,HV,wilcoxon_signed_rank_vs_baseline,20,25,198.0,0.4898460879921913,0.4898460879921913,0.05,False,no_significant_difference
stagnation_patience,zdt3,HV,wilcoxon_signed_rank_vs_baseline,20,30,143.0,0.06666470877826214,0.19999412633478642,0.05,False,no_significant_difference
stagnation_patience,zdt3,HV,wilcoxon_signed_rank_vs_baseline,20,40,131.0,0.036434996873140335,0.18217498436570168,0.05,False,no_significant_difference
stagnation_patience,zdt4,IGD,friedman,20,all,49.55979202772956,5.759876866012078e-09,,0.05,True,parameter_effect_detected
stagnation_patience,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,20,5,20.0,6.910413503646851e-07,4.14624810218811e-06,0.05,True,baseline_better
stagnation_patience,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,20,10,43.0,0.002234577508303177,0.011172887541515885,0.05,True,baseline_better
stagnation_patience,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,20,15,19.0,0.21322298815094953,0.6918196719536827,0.05,False,no_significant_difference
stagnation_patience,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,20,25,5.0,0.24886387493792206,0.6918196719536827,0.05,False,no_significant_difference
stagnation_patience,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,20,30,4.0,0.17295491798842066,0.6918196719536827,0.05,False,no_significant_difference
stagnation_patience,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,20,40,6.0,0.3454475304692257,0.6918196719536827,0.05,False,no_significant_difference
stagnation_patience,zdt4,HV,friedman,20,all,44.45407279029453,6.007345443679118e-08,,0.05,True,parameter_effect_detected
stagnation_patience,zdt4,HV,wilcoxon_signed_rank_vs_baseline,20,5,31.0,4.421919584274292e-06,2.6531517505645752e-05,0.05,True,baseline_better
stagnation_patience,zdt4,HV,wilcoxon_signed_rank_vs_baseline,20,10,52.0,0.005110260660855864,0.02555130330427932,0.05,True,baseline_better
stagnation_patience,zdt4,HV,wilcoxon_signed_rank_vs_baseline,20,15,20.0,0.24774620591207197,0.9909848236482879,0.05,False,no_significant_difference
stagnation_patience,zdt4,HV,wilcoxon_signed_rank_vs_baseline,20,25,8.0,0.6001794871405538,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt4,HV,wilcoxon_signed_rank_vs_baseline,20,30,5.0,0.24886387493792206,0.9909848236482879,0.05,False,no_significant_difference
stagnation_patience,zdt4,HV,wilcoxon_signed_rank_vs_baseline,20,40,9.0,0.7531523647659145,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt6,IGD,friedman,20,all,60.97142857142853,2.8566529147402924e-11,,0.05,True,parameter_effect_detected
stagnation_patience,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,20,5,83.0,0.0014574769884347916,0.00874486193060875,0.05,True,baseline_better
stagnation_patience,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,20,10,146.0,0.07672121562063694,0.3836060781031847,0.05,False,no_significant_difference
stagnation_patience,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,20,15,188.0,0.370740607380867,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,20,25,227.0,0.9192965272814035,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,20,30,204.0,0.5698575973510742,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,20,40,169.0,0.19807579927146435,0.7923031970858574,0.05,False,no_significant_difference
stagnation_patience,zdt6,HV,friedman,20,all,64.24285714285713,6.157786787222538e-12,,0.05,True,parameter_effect_detected
stagnation_patience,zdt6,HV,wilcoxon_signed_rank_vs_baseline,20,5,70.0,0.00046010687947273254,0.0027606412768363953,0.05,True,baseline_better
stagnation_patience,zdt6,HV,wilcoxon_signed_rank_vs_baseline,20,10,148.0,0.08406547829508781,0.42032739147543907,0.05,False,no_significant_difference
stagnation_patience,zdt6,HV,wilcoxon_signed_rank_vs_baseline,20,15,176.0,0.25343610532581806,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt6,HV,wilcoxon_signed_rank_vs_baseline,20,25,232.0,1.0,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt6,HV,wilcoxon_signed_rank_vs_baseline,20,30,200.0,0.5158484429121017,1.0,0.05,False,no_significant_difference
stagnation_patience,zdt6,HV,wilcoxon_signed_rank_vs_baseline,20,40,187.0,0.3598779272288084,1.0,0.05,False,no_significant_difference
f_cr_init,zdt1,IGD,friedman,fixed_baseline,all,0.5199999999999818,0.9144760344439258,,0.05,False,no_parameter_effect_detected
f_cr_init,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,219.0,0.7921590935438871,1.0,0.05,False,no_significant_difference
f_cr_init,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,208.0,0.6263462882488966,1.0,0.05,False,no_significant_difference
f_cr_init,zdt1,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,210.0,0.6554384250193834,1.0,0.05,False,no_significant_difference
f_cr_init,zdt1,HV,friedman,fixed_baseline,all,0.8000000000000114,0.8494670333918228,,0.05,False,no_parameter_effect_detected
f_cr_init,zdt1,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,220.0,0.8078304156661034,1.0,0.05,False,no_significant_difference
f_cr_init,zdt1,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,202.0,0.5425279382616282,1.0,0.05,False,no_significant_difference
f_cr_init,zdt1,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,215.0,0.7303419969975948,1.0,0.05,False,no_significant_difference
f_cr_init,zdt2,IGD,friedman,fixed_baseline,all,3.7200000000000273,0.2933296061569842,,0.05,False,no_parameter_effect_detected
f_cr_init,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,147.0,0.0803273618221283,0.2409820854663849,0.05,False,no_significant_difference
f_cr_init,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,219.0,0.7921590935438871,1.0,0.05,False,no_significant_difference
f_cr_init,zdt2,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,202.0,0.5425279382616282,1.0,0.05,False,no_significant_difference
f_cr_init,zdt2,HV,friedman,fixed_baseline,all,2.920000000000016,0.40412477754785725,,0.05,False,no_parameter_effect_detected
f_cr_init,zdt2,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,155.0,0.11417667381465435,0.34253002144396305,0.05,False,no_significant_difference
f_cr_init,zdt2,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,228.0,0.935398668050766,1.0,0.05,False,no_significant_difference
f_cr_init,zdt2,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,207.0,0.6120056137442589,1.0,0.05,False,no_significant_difference
f_cr_init,zdt3,IGD,friedman,fixed_baseline,all,2.519999999999982,0.4716874762930765,,0.05,False,no_parameter_effect_detected
f_cr_init,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,211.0,0.6701805889606476,1.0,0.05,False,no_significant_difference
f_cr_init,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,216.0,0.7456546742469072,1.0,0.05,False,no_significant_difference
f_cr_init,zdt3,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,156.0,0.11907656863331795,0.35722970589995384,0.05,False,no_significant_difference
f_cr_init,zdt3,HV,friedman,fixed_baseline,all,2.680000000000007,0.4436367915546302,,0.05,False,no_parameter_effect_detected
f_cr_init,zdt3,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,219.0,0.7921590935438871,1.0,0.05,False,no_significant_difference
f_cr_init,zdt3,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,201.0,0.5291051845997572,1.0,0.05,False,no_significant_difference
f_cr_init,zdt3,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,160.0,0.140283040702343,0.42084912210702896,0.05,False,no_significant_difference
f_cr_init,zdt4,IGD,friedman,fixed_baseline,all,27.28000000000003,5.142923804385171e-06,,0.05,True,parameter_effect_detected
f_cr_init,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,222.0,0.8393927440047264,0.8393927440047264,0.05,False,no_significant_difference
f_cr_init,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,23.0,1.1920928955078125e-06,3.5762786865234375e-06,0.05,True,baseline_better
f_cr_init,zdt4,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,190.0,0.39305018074810505,0.7861003614962101,0.05,False,no_significant_difference
f_cr_init,zdt4,HV,friedman,fixed_baseline,all,25.720000000000027,1.091550896268614e-05,,0.05,True,parameter_effect_detected
f_cr_init,zdt4,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,213.0,0.7000329215079546,0.9542129635810852,0.05,False,no_significant_difference
f_cr_init,zdt4,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,18.0,4.7124922275543213e-07,1.4137476682662964e-06,0.05,True,baseline_better
f_cr_init,zdt4,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,197.0,0.4771064817905426,0.9542129635810852,0.05,False,no_significant_difference
f_cr_init,zdt6,IGD,friedman,fixed_baseline,all,2.4399999999999977,0.48623207121660783,,0.05,False,no_parameter_effect_detected
f_cr_init,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,213.0,0.7000329215079546,1.0,0.05,False,no_significant_difference
f_cr_init,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,194.0,0.4399667661637068,1.0,0.05,False,no_significant_difference
f_cr_init,zdt6,IGD,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,206.0,0.5978077705949545,1.0,0.05,False,no_significant_difference
f_cr_init,zdt6,HV,friedman,fixed_baseline,all,0.19999999999998863,0.9775892977616513,,0.05,False,no_parameter_effect_detected
f_cr_init,zdt6,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,low_init,221.0,0.8235769439488649,1.0,0.05,False,no_significant_difference
f_cr_init,zdt6,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,high_init,232.0,1.0,1.0,0.05,False,no_significant_difference
f_cr_init,zdt6,HV,wilcoxon_signed_rank_vs_baseline,fixed_baseline,random_uniform,226.0,0.9032264724373817,1.0,0.05,False,no_significant_difference
